order_id,user_id,restaurant_id,restaurant_name,driver_id,order_time,order_date,order_hour,is_weekend,is_ramadan_period,city,area,cuisine,item_name,quantity,unit_price_aed,delivery_fee_aed,total_price_aed,payment_method,delivery_distance_km,traffic_level,driver_vehicle,driver_availability,delivery_duration_mins,order_status,user_subscription,restaurant_health_score,order_quality_risk_score,churn_risk
ORD00064681,USR004316,RST00519,Saffron Table Discovery Gardens,DRV02718,2024-05-24 21:46:00,2024-05-24,21,1,0,Dubai,Discovery Gardens,Indian,Gulab Jamun,1,31.39,3,34.39,Credit Card,0.53,Medium,Motorcycle,Available,20.2,Delivered,1,0.434,0.497,0
ORD00183520,USR010693,RST01271,Spice Route Karama,DRV01708,2024-01-18 09:25:00,2024-01-18,9,0,0,Dubai,Karama,Indian,Palak Paneer,1,35.94,5,40.94,Credit Card,9.89,High,Motorcycle,Available,48.6,Delivered,0,0.944,0.395,0
ORD00311973,USR002265,RST00343,Peking House Downtown,DRV00169,2024-06-25 22:29:00,2024-06-25,22,0,0,Dubai,Downtown,Chinese,Dim Sum Basket,3,146.58,0,439.74,Apple Pay,10.83,Very High,Motorcycle,Busy,62.8,Delivered,1,0.739,0.583,0
ORD00210175,USR027601,RST00613,Tandoor House Business Bay,DRV02809,2024-05-06 19:04:00,2024-05-06,19,0,0,Dubai,Business Bay,Indian,Lamb Rogan Josh,2,79.31,3,161.62,Apple Pay,7.3,Medium,Motorcycle,Available,40.5,Delivered,1,0.73,0.483,0
ORD00076521,USR008888,RST00441,BBQ Smokehouse Al Majaz,DRV01078,2024-05-06 20:16:00,2024-05-06,20,0,0,Sharjah,Al Majaz,American,Crispy Chicken Sandwich,1,38.77,5,43.77,Debit Card,1.37,Very High,Motorcycle,Available,15.9,Cancelled,1,0.492,0.556,1
ORD00690820,USR021519,RST00423,Shawarma Station Al Nahda,DRV02679,2024-07-10 18:34:00,2024-07-10,18,0,0,Sharjah,Al Nahda,Arabic,Mixed Grill,2,32.85,3,68.7,Credit Card,7.97,Medium,Motorcycle,Available,38.8,Delivered,1,0.441,0.437,0
ORD00390280,USR019968,RST01223,Manila Garden Bur Dubai,DRV02577,2024-08-21 08:48:00,2024-08-21,8,0,0,Dubai,Bur Dubai,Filipino,Sisig Rice Bowl,2,31.11,3,65.22,In-App Wallet,13.27,Medium,Motorcycle,Available,57.1,Delivered,1,0.634,0.367,0
ORD00061600,USR023937,RST01023,Thai Orchid Discovery Gardens,DRV02519,2024-02-12 17:25:00,2024-02-12,17,0,0,Dubai,Discovery Gardens,Thai,Green Curry Chicken,1,26.43,5,31.43,In-App Wallet,0.99,Low,Motorcycle,Busy,10.0,Delivered,0,0.48,0.177,0
ORD00739197,USR028098,RST01712,Namaste Kitchen Al Raha Beach,DRV02565,2024-06-16 22:14:00,2024-06-16,22,0,0,Abu Dhabi,Al Raha Beach,Indian,Chicken Biryani,1,125.81,5,130.81,Credit Card,10.49,Medium,Motorcycle,Busy,49.9,Delivered,0,0.783,0.353,0
ORD00529652,USR010207,RST01595,Lutong Bahay JLT,DRV00926,2024-11-19 16:43:00,2024-11-19,16,0,0,Dubai,JLT,Filipino,Longganisa Rice,1,74.17,3,77.17,Credit Card,4.06,Low,Motorcycle,Available,16.2,Delivered,1,0.78,0.166,0
